#CODE;RUSSIAN;;;;;;;;;;;;;x
c_aamsk;Аамск;;;;;;;;;;;;;x
c_aamsk_adj;Аам;;;;;;;;;;;;;x
c_abanreach;Абанрич;;;;;;;;;;;;;x
c_abanreach_adj;Абанрич;;;;;;;;;;;;;x
c_abassi_coast;Побережье Абасси;;;;;;;;;;;;;x
c_abassi_coast_adj;Побереж;;;;;;;;;;;;;x
c_addle;Эддл;;;;;;;;;;;;;x
c_addle_adj;Эддль;;;;;;;;;;;;;x
c_aderic;Адерик;;;;;;;;;;;;;x
c_aderic_adj;Адерик;;;;;;;;;;;;;x
c_aerie_peak;Заоблачный Пик;;;;;;;;;;;;;x
c_aerie_peak_adj;Заоблачнопик;;;;;;;;;;;;;x
c_aessina;Эссина;;;;;;;;;;;;;x
c_aessina_adj;Эссин;;;;;;;;;;;;;x
c_aessina_2;Эссина;;;;;;;;;;;;;x
c_aessina_2_adj;Эссин;;;;;;;;;;;;;x
c_agamagar;Агамагар;;;;;;;;;;;;;x
c_agamagar_adj;Агамагар;;;;;;;;;;;;;x
c_agamagor;Агама'гор;;;;;;;;;;;;;x
c_agamagor_adj;Агама'гор;;;;;;;;;;;;;x
c_agamand;Агамонд;;;;;;;;;;;;;x
c_agamand_adj;Агамонд;;;;;;;;;;;;;x
c_agneepath;Огненный Путь;;;;;;;;;;;;;x
c_agneepath_adj;Огнепуть;;;;;;;;;;;;;x
c_agolwatha;Агол'вата;;;;;;;;;;;;;x
c_agolwatha_adj;Агол'ват;;;;;;;;;;;;;x
c_ahnqiraj;Ан'Кираж;;;;;;;;;;;;;x
c_ahnqiraj_adj;Ан'Кираж;;;;;;;;;;;;;x
c_aiszuldo;Айсжул'до;;;;;;;;;;;;;x
c_aiszuldo_adj;Айсжул'дон;;;;;;;;;;;;;x
c_akhenet;Ахенет;;;;;;;;;;;;;x
c_akhenet_adj;Ахенет;;;;;;;;;;;;;x
c_akilzon;Акил'зон;;;;;;;;;;;;;x
c_akilzon_adj;Акил'зон;;;;;;;;;;;;;x
c_alberlin;Алберлин;;;;;;;;;;;;;x
c_alberlin_adj;Алберлин;;;;;;;;;;;;;x
c_alcaz;Алькац;;;;;;;;;;;;;x
c_alcaz_adj;Алькац;;;;;;;;;;;;;x
