#CODE;RUSSIAN;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
# Common;;;;;;;;;;;;;;x
emperor;Верховный король;Haut roi;Hochkцnig;;;;;;;;;;;x
emperor_female;Верховная королева;Haute reine;Hochkцnigin;;;;;;;;;;;x
empire_of;Верховное королевство;Haut Royaume de;Hochkцnigreich von;;;;;;;;;;;x
empire;Империя;Empire;Kaiserreich;;;;;;;;;;;x
king;Король;Roi;Kцnig;;;;;;;;;;;x
king_female;Королева;Reine;Kцnigin;;;;;;;;;;;x
kingdom_of;Королевство;Royaume de;Kцnigreich von;;;;;;;;;;;x
kingdom;Королевство;Royaume;Kцnigreich;;;;;;;;;;;x
duke;Верховный лорд;Seigneur;Hochlord;;;;;;;;;;;x
duke_female;Верховная леди;Seigneur;Hochdame;;;;;;;;;;;x
duchy_of;Верховное лордство;Souverainetй de;Hochlordschaft von;;;;;;;;;;;x
duchy;Верховное лордство;Souverainetй;Hochlordschaft;;;;;;;;;;;x
count;Лорд;Sire;Herr;;;;;;;;;;;x
count_female;Леди;Dame;Dame;;;;;;;;;;;x
county_of;Лордство;Seigneurie de;Herrschaft von;;;;;;;;;;;x
county;Лордство;Seigneurie;Herrschaft;;;;;;;;;;;x
baron;Барон;Baron;Baron;;;;;;;;;;;x
baron_female;Баронесса;Baronne;Baronin;;;;;;;;;;;x
barony_of;Баронство;Baronnerie de;Baronie von;;;;;;;;;;;x
Barony;Баронство;Baronnerie;Baronie;;;;;;;;;;;x
# dwarf_group;;;;;;;;;;;;;;x
duke_dwarf_group;Тан;Thane;Thane;;;;;;;;;;;x
duke_female_dwarf_group;Тан;Thane;Thanin;;;;;;;;;;;x
duchy_of_dwarf_group;Клан;;Stamm von;;;;;;;;;;;x
duchy_dwarf_group;Клан;Clan;Clan;;;;;;;;;;;x
count_dwarf_group;Вождь;Chef;Hдuptlingsdame;;;;;;;;;;;x
count_female_dwarf_group;Предводительница;Cheffe;Hдuptlingsdame;;;;;;;;;;;x
county_of_dwarf_group;Вождество;Chefferie de;Stamm von;;;;;;;;;;;x
county_dwarf_group;Вождество;Chefferie;Stamm;;;;;;;;;;;x
# goblin_group;;;;;;;;;;;;;;x
count_goblin_group;Верховный барон;Grand Baron;Baron;;;;;;;;;;;x
count_female_goblin_group;Верховная баронесса;Grande Baronne;Baronin;;;;;;;;;;;x
county_of_goblin_group;Верховное баронство;Grande Baronnerie de;Baronie von;;;;;;;;;;;x
county_goblin_group;Верховное баронство;Grande Baronnerie;Baronie;;;;;;;;;;;x
