PROV1;Штормград;;;;;;;;;;;x
PROV2;Семь Звезд;;;;;;;;;;;x
PROV3;Две Луны;;;;;;;;;;;x
PROV4;Большие холмы;;;;;;;;;;;x
PROV5;Лул'каил;;;;;;;;;;;x
PROV6;Златоземье;;;;;;;;;;;x
PROV7;Североземье;;;;;;;;;;;x
PROV8;Северное поле;;;;;;;;;;;x
PROV9;Западный ручей;;;;;;;;;;;x
PROV10;Южная поляна;;;;;;;;;;;x
PROV11;Каменное поле;;;;;;;;;;;x
PROV12;Солнечная поляна;;;;;;;;;;;x
PROV13;Башня Азоры;;;;;;;;;;;x
PROV14;Восточная долина;;;;;;;;;;;x
PROV15;Одинокая башня;;;;;;;;;;;x
PROV16;Каменный курган;;;;;;;;;;;x
PROV17;Луноречье;;;;;;;;;;;x
PROV18;Песчаная нога;;;;;;;;;;;x
PROV19;Хмуробров;;;;;;;;;;;x
PROV20;Молсен;;;;;;;;;;;x
PROV21;Приозерье;;;;;;;;;;;x
PROV22;Три угла;;;;;;;;;;;x
PROV23;Озерный тракт;;;;;;;;;;;x
PROV24;Альтер;;;;;;;;;;;x
PROV25;Перевал Черной горы;;;;;;;;;;;x
PROV26;Тукс Цекс;;;;;;;;;;;x
PROV27;Золотой берег;;;;;;;;;;;x
PROV28;Длинный берег;;;;;;;;;;;x
PROV29;Сторожевой холм;;;;;;;;;;;x
PROV30;Демонт;;;;;;;;;;;x
PROV31;Пыльные равнины;;;;;;;;;;;x
PROV32;Башня Мортвейка;;;;;;;;;;;x
PROV33;Каньоны Красногорья;;;;;;;;;;;x
PROV34;Глинистый ветер;;;;;;;;;;;x
PROV35;Галарделл;;;;;;;;;;;x
PROV36;Горный путь;;;;;;;;;;;x
PROV37;Великий Гамлет;;;;;;;;;;;x
PROV38;Светлая роща;;;;;;;;;;;x
PROV39;Безмятежные сады;;;;;;;;;;;x
PROV40;Богатый сад;;;;;;;;;;;x
PROV41;Йорген;;;;;;;;;;;x
PROV42;Большой курган;;;;;;;;;;;x
PROV43;Эддл;;;;;;;;;;;x
PROV44;Вороний холм;;;;;;;;;;;x
PROV45;Сумеречная роща;;;;;;;;;;;x
PROV46;Каражан;;;;;;;;;;;x
PROV47;Тропа мертвеца;;;;;;;;;;;x
PROV48;Золотая лестница;;;;;;;;;;;x
PROV49;Порок;;;;;;;;;;;x
PROV50;Зул'гуруб;;;;;;;;;;;x
PROV51;Рен'кунн;;;;;;;;;;;x
PROV52;Гокунти;;;;;;;;;;;x
PROV53;Зул'мараш;;;;;;;;;;;x
PROV54;Бамбала;;;;;;;;;;;x
PROV55;Южная долина;;;;;;;;;;;x
PROV56;Олриар;;;;;;;;;;;x
PROV57;Куло'ке;;;;;;;;;;;x
PROV58;Зиата'джай;;;;;;;;;;;x
PROV59;Балиа'ма;;;;;;;;;;;x
PROV60;Зул'мамве;;;;;;;;;;;x
PROV61;Зул'кунда;;;;;;;;;;;x
PROV62;Ткаши;;;;;;;;;;;x
PROV63;Кал'аи;;;;;;;;;;;x
PROV64;Бал'лал;;;;;;;;;;;x
PROV65;Зуулдая;;;;;;;;;;;x
PROV66;Мизжа;;;;;;;;;;;x
PROV67;Холм Пустоты;;;;;;;;;;;x
PROV68;Рокард;;;;;;;;;;;x
PROV69;Камень роз;;;;;;;;;;;x
PROV70;Молот Ужаса;;;;;;;;;;;x
PROV71;Огненный путь;;;;;;;;;;;x
PROV72;Дул'зин;;;;;;;;;;;x
PROV73;Темный портал;;;;;;;;;;;x
PROV74;Зави;;;;;;;;;;;x
PROV75;Дисей;;;;;;;;;;;x
PROV76;Шиндун;;;;;;;;;;;x
PROV77;Зуджит;;;;;;;;;;;x
PROV78;Бинан;;;;;;;;;;;x
PROV79;Сурвич;;;;;;;;;;;x
PROV80;Мертвая лощина;;;;;;;;;;;x
PROV81;Атал'хаккар;;;;;;;;;;;x
PROV82;Развилка расщепленного копья;;;;;;;;;;;x
PROV83;Туманная долина;;;;;;;;;;;x
PROV84;Убежище;;;;;;;;;;;x
PROV85;Каменор;;;;;;;;;;;x
PROV86;Южная трясина;;;;;;;;;;;x
PROV87;Северная трясина;;;;;;;;;;;x
PROV88;Вязкая топь;;;;;;;;;;;x
PROV89;Гнилая отмель;;;;;;;;;;;x
PROV90;Болотная вода;;;;;;;;;;;x
PROV91;Дикий мыс;;;;;;;;;;;x
PROV92;Горемрак;;;;;;;;;;;x
PROV93;Веслотопь;;;;;;;;;;;x
PROV94;Южные острова;;;;;;;;;;;x
PROV95;Сурохи;;;;;;;;;;;x
PROV96;Лю'дей;;;;;;;;;;;x
PROV97;Кофельнагель;;;;;;;;;;;x
PROV98;Нек'Мани;;;;;;;;;;;x
PROV99;Киму;;;;;;;;;;;x
PROV100;Векрише;;;;;;;;;;;x
PROV101;Фикиннун;;;;;;;;;;;x
PROV102;Стальгорн;;;;;;;;;;;x
PROV103;Глубины Черной горы;;;;;;;;;;;x
PROV104;Пик Черной горы;;;;;;;;;;;x
PROV105;Красный шлем;;;;;;;;;;;x
PROV106;Редпат;;;;;;;;;;;x
